framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	32892	10324	6	93.34	3.19	0	0	1363.52	1617.99	1363.52	0.0002	0	99.6	100	100	90	6.42	25	15	0	985.11	0	-0.012	3	444	299	68	83.56	13776.09
angular	True	10413.67	2.4	239051	74575	3	92.72	3.21	6288.67	156	2108.33	2615.69	2108.33	0.0001	3.2	95	100	100	90	5.53	20	7.5	0	992.89	0	-0.013	13	868	474	85	604.86	29635.29
jquery	True	727	2.26	100009	34722	1	99.5	2.88	1015	103	1810.86	1975.29	1810.86	0.1457	0	92	100	99.2	90	6.48	25	15	0	985.28	0	-0.02	3	481	287	45	87.4	18604.14
lit	True	497.33	2.21	60102	15752	1	98.82	3.82	1016.67	104.33	1528.04	1843.56	1528.04	0.0548	0	99	96	100	90	7.57	24.9	13.3	0	974.48	0	-0.01	8	1310	955	84	246.73	46709.68
preact	True	516	2.18	27622	10088	1	100	2.74	1488	153.33	1372	1676.29	1372	0.0001	0	99.4	100	100	90	6.49	44.9	18.3	0	989.08	0	-0.012	12	776	461	101	585.8	25344.18
qwik	True	745	2.25	182004	69151	26	100	2.63	1105	105.33	1401.4	2119.14	1401.4	0.9825	0	74	96	100	90	6.05	20	11.67	0	988.44	0	-0.012	16	754	414	83	862.46	26425.59
react	True	820	2.31	158538	50256	1	100	3.15	1091.67	151	1959.18	2263.77	1959.18	0.0001	0	97	100	100	90	6.77	39.8	19.93	0	991.04	0	-0.012	13	762	438	90	634.69	24213.69
solid	True	764.67	2.18	26458	9243	1	100	2.86	1015.67	103	1359.37	1522.65	1359.37	0.0001	0	100	100	100	90	6.98	29.9	16.63	0	986.84	0	-0.012	12	786	458	98	581.44	26202.05
svelte	True	1917.33	2.27	115513	38344	11	69.89	3.01	1068.67	149.67	1671.42	2130.02	1671.42	0.0001	0	98	100	100	90	5.08	20	13.33	0	987.93	0	-0.014	12	797	405	101	690.76	16137.4
vanilla	True	0	0	41612	10960	6	100	3.8	0	0	1214.81	1519.75	1214.81	0.1457	0	94	100	96	90	7.35	24.9	14.97	0	980.87	0	0.002	3	560	426	74	71.69	20768.9
vanjs	True	456.33	2.17	17211	5999	1	96.97	2.87	1188	107.67	1214.31	1384.17	1214.31	0.0001	0	100	100	100	90	9.42	25	11.67	0	975.18	0	0.004	3	743	388	76	74.17	22895.14
vue	True	821.67	2.23	76585	29349	1	100	2.61	1014.67	103	1668.89	1839.14	1668.89	0.0001	0	99	100	100	90	6.53	20	11.67	0	987.74	0	-0.012	11	677	217	57	686.46	10853.47
