framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1758.99	2025.05	1758.99	0.0002	26.4	98.2	100	100	90	18.93	94.5	31.5	0	1406.07	0	-0.011	3	444	299	68	83.56	13776.09
angular	True	6528	2.32	158642	51430	1	100	3.08	5486	105	1958.87	2319.5	1958.87	0.0001	8.8	97	100	100	90	23.22	119.6	39.87	0	1378.66	0	-0.004	13	764	424	88	631.62	27036.12
astro	True	1384	2.17	11475	3814	1	100	3.01	2302	110	1178.94	1508.94	1178.94	0.0001	0	100	100	100	90	14.18	124.3	21.55	0	1381.38	0	-0.005	4	546	372	73	159.38	18153.98
geajs	True	977	2.19	32881	9964	1	98.43	3.3	1020	105	1525.6	1703.26	1525.6	0.0001	4	99	100	100	90	13.03	119.5	39.83	0	1393.53	0	-0.005	13	713	452	91	678.96	24340.98
jquery	True	1173	2.26	100009	34722	1	99.5	2.88	1034	107	1836.78	2028.76	1836.78	0.1459	0	92	100	99.2	90	15.46	114.5	38.17	0	1390.85	0	-0.007	3	481	287	45	87.4	18604.14
lit	True	741	2.21	59808	15719	1	98.81	3.8	1023	105	1550.1	1854.76	1550.1	0.055	5.8	99	96	100	90	13.72	124.5	21.58	0	1397.91	0	-0.003	8	1300	955	84	247.45	45970.31
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1183.24	1689.23	1183.24	0.0002	0	100	100	100	100	17.66	134.2	44.73	0	1386.59	0	-0.008	4	321	234	67	154.88	17543.75
octane	True	2080	2.3	148231	46596	1	100	3.18	1021	105	2004.77	2270.36	2004.77	0.0002	1.8	97	100	100	90	17.14	129.4	43.13	0	1401.11	0	-0.006	12	741	421	89	579.82	24098.68
preact	True	757	2.18	27622	10088	1	100	2.74	1023	105	1360.5	1637.86	1360.5	0.0001	0	99.8	100	100	90	13.78	124.5	41.5	0	1398.12	0	-0.004	12	776	461	101	585.8	25344.18
qwik	True	1231	2.25	91158	34628	13	100	2.63	1031	107	1417.65	2125.26	1417.65	0.6166	0	83.8	96	100	90	19.65	124.5	41.5	0	1394.43	0	-0.004	16	754	415	83	861.8	26425.59
react	True	1297	2.31	158538	50256	1	100	3.15	1023	105	1949.39	2254.38	1949.39	0.0002	50.5	96	100	100	90	13.07	119.5	39.83	0	1379.31	0	-0.005	13	762	438	90	634.69	24213.69
solid	True	1093	2.18	26458	9243	1	100	2.86	1023	105	1391.89	1546.24	1391.89	0.0001	0	99.6	100	100	90	17.41	129.1	22.35	0	1394.61	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	2893	2.27	117668	38611	11	68.6	3.05	1706	121	1668.07	2120.65	1668.07	0	0	98	100	96	90	15.3	119.4	39.8	0	1384.16	0	-0.002	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1251.35	1552.07	1251.35	0.146	0	94	100	96	90	14.96	119.5	39.83	0	1386.42	0	-0.008	3	560	426	74	71.69	20768.9
vanjs	True	653	2.17	17211	5999	1	96.97	2.87	1024	105	1210.23	1397.95	1210.23	0.0001	0	100	100	100	90	15.94	104.5	34.83	0	1387.02	0	0.003	3	743	388	76	74.17	22895.14
vue	True	1329	2.23	76585	29349	1	100	2.61	1023	105	1661.37	1860.06	1661.37	0.0001	0	99	100	100	90	15.14	119.5	39.83	0	1381.54	0	-0.004	11	677	217	57	686.46	10853.47
